year,agegrp,sex,denominator,numerator
2001,20-24, 1,1,0
2002,10-14, 2,1,1
2002,15-19, 1,55,0
2002,15-19, 2,77,6
2002,20-24, 1,31,2
2002,20-24, 2,41,6
2002,25-29, 1,11,5
2002,25-29, 2,27,10
2002,30-34, 1,7,3
2002,30-34, 2,17,6
2002,35-39, 1,8,3
2002,35-39, 2,23,8
2002,40-44, 1,5,1
2002,40-44, 2,26,4
2002,45-49, 1,8,1
2002,45-49, 2,25,5
2002,50-54, 1,9,2
2002,50-54, 2,5,1
2002,55-59, 1,2,0
2002,55-59, 2,1,0
2002,60-64, 1,2,0
2002,60-64, 2,1,0
2003,00-04, 2,1,1
2003,05-09, 1,2,0
2003,10-14, 1,7,0
2003,10-14, 2,13,0
2003,15-19, 1,766,6
2003,15-19, 2,838,78
2003,20-24, 1,331,27
2003,20-24, 2,480,147
2003,25-29, 1,119,39
2003,25-29, 2,267,143
2003,30-34, 1,124,56
2003,30-34, 2,249,110
2003,35-39, 1,100,38
2003,35-39, 2,243,87
2003,40-44, 1,87,22
2003,40-44, 2,261,73
2003,45-49, 1,89,18
2003,45-49, 2,249,48
2003,50-54, 1,86,22
2003,50-54, 2,24,4
2003,55-59, 1,14,1
2003,55-59, 2,15,4
2003,60-64, 1,1,0
2003,60-64, 2,2,0
2003,65-69, 1,2,0
2003,65-69, 2,1,0
2003,70-74, 2,1,0
2003,80-84, 1,1,0
2004,00-04, 1,1,1
2004,05-09, 1,1,0
2004,05-09, 2,1,0
2004,10-14, 1,7,0
2004,10-14, 2,7,0
2004,15-19, 1,1379,15
2004,15-19, 2,1442,150
2004,20-24, 1,794,68
2004,20-24, 2,980,313
2004,25-29, 1,355,109
2004,25-29, 2,618,313
2004,30-34, 1,283,124
2004,30-34, 2,495,252
2004,35-39, 1,231,90
2004,35-39, 2,491,168
2004,40-44, 1,216,67
2004,40-44, 2,546,148
2004,45-49, 1,211,49
2004,45-49, 2,546,121
2004,50-54, 1,177,33
2004,50-54, 2,75,17
2004,55-59, 1,36,3
2004,55-59, 2,12,0
2004,60-64, 1,8,2
2004,60-64, 2,11,0
2004,65-69, 1,3,0
2004,65-69, 2,5,0
2004,70-74, 1,2,0
2004,70-74, 2,3,0
2004,85+, 1,1,0
2004,85+, 2,1,0
2005,10-14, 1,15,0
2005,10-14, 2,14,1
2005,15-19, 1,1626,17
2005,15-19, 2,1721,128
2005,20-24, 1,847,74
2005,20-24, 2,1152,324
2005,25-29, 1,352,96
2005,25-29, 2,544,260
2005,30-34, 1,255,111
2005,30-34, 2,499,233
2005,35-39, 1,231,89
2005,35-39, 2,537,204
2005,40-44, 1,200,61
2005,40-44, 2,603,165
2005,45-49, 1,229,55
2005,45-49, 2,582,114
2005,50-54, 1,192,38
2005,50-54, 2,37,11
2005,55-59, 1,19,2
2005,55-59, 2,3,1
2005,60-64, 2,3,0
2006,10-14, 1,12,0
2006,10-14, 2,17,2
2006,15-19, 1,1434,8
2006,15-19, 2,1609,126
2006,20-24, 1,678,47
2006,20-24, 2,1001,290
2006,25-29, 1,307,94
2006,25-29, 2,500,223
2006,30-34, 1,231,95
2006,30-34, 2,440,215
2006,35-39, 1,180,69
2006,35-39, 2,447,162
2006,40-44, 1,186,64
2006,40-44, 2,510,140
2006,45-49, 1,161,40
2006,45-49, 2,533,100
2006,50-54, 1,173,30
2006,50-54, 2,40,7
2006,55-59, 1,14,4
2006,55-59, 2,5,1
2006,60-64, 1,1,0
2006,60-64, 2,2,0
2006,65-69, 1,1,0
2007,10-14, 1,6,0
2007,10-14, 2,11,0
2007,15-19, 1,1133,13
2007,15-19, 2,1384,119
2007,20-24, 1,570,46
2007,20-24, 2,927,278
2007,25-29, 1,272,85
2007,25-29, 2,473,223
2007,30-34, 1,187,69
2007,30-34, 2,407,210
2007,35-39, 1,167,67
2007,35-39, 2,404,152
2007,40-44, 1,161,59
2007,40-44, 2,429,148
2007,45-49, 1,126,37
2007,45-49, 2,509,108
2007,50-54, 1,165,35
2007,50-54, 2,419,78
2007,55-59, 1,139,18
2007,55-59, 2,408,54
2007,60-64, 1,109,16
2007,60-64, 2,246,25
2007,65-69, 1,122,8
2007,65-69, 2,331,15
2007,70-74, 1,77,4
2007,70-74, 2,229,4
2007,75-79, 1,84,1
2007,75-79, 2,240,4
2007,80-84, 1,34,3
2007,80-84, 2,86,2
2007,85+, 1,32,0
2007,85+, 2,69,0
2008,10-14, 1,3,0
2008,10-14, 2,3,0
2008,15-19, 1,1144,9
2008,15-19, 2,1312,115
2008,20-24, 1,615,53
2008,20-24, 2,950,268
2008,25-29, 1,305,88
2008,25-29, 2,529,242
2008,30-34, 1,195,71
2008,30-34, 2,416,218
2008,35-39, 1,163,75
2008,35-39, 2,392,169
2008,40-44, 1,135,44
2008,40-44, 2,387,139
2008,45-49, 1,132,31
2008,45-49, 2,530,144
2008,50-54, 1,143,41
2008,50-54, 2,445,77
2008,55-59, 1,135,18
2008,55-59, 2,382,53
2008,60-64, 1,113,9
2008,60-64, 2,270,27
2008,65-69, 1,109,6
2008,65-69, 2,318,14
2008,70-74, 1,74,1
2008,70-74, 2,228,5
2008,75-79, 1,71,0
2008,75-79, 2,217,3
2008,80-84, 1,48,1
2008,80-84, 2,96,1
2008,85+, 1,27,1
2008,85+, 2,55,1
2009,10-14, 2,2,0
2009,15-19, 1,750,7
2009,15-19, 2,927,94
2009,20-24, 1,573,40
2009,20-24, 2,908,257
2009,25-29, 1,273,60
2009,25-29, 2,551,254
2009,30-34, 1,185,79
2009,30-34, 2,403,210
2009,35-39, 1,157,82
2009,35-39, 2,374,173
2009,40-44, 1,131,49
2009,40-44, 2,374,140
2009,45-49, 1,143,48
2009,45-49, 2,464,128
2009,50-54, 1,140,38
2009,50-54, 2,448,88
2009,55-59, 1,126,28
2009,55-59, 2,332,44
2009,60-64, 1,112,10
2009,60-64, 2,286,36
2009,65-69, 1,115,8
2009,65-69, 2,280,15
2009,70-74, 1,75,7
2009,70-74, 2,235,12
2009,75-79, 1,54,0
2009,75-79, 2,208,2
2009,80-84, 1,42,1
2009,80-84, 2,105,2
2009,85+, 1,25,1
2009,85+, 2,60,0
2010,10-14, 1,3,0
2010,10-14, 2,1,0
2010,15-19, 1,1096,19
2010,15-19, 2,1282,117
2010,20-24, 1,671,61
2010,20-24, 2,1038,299
2010,25-29, 1,315,81
2010,25-29, 2,767,394
2010,30-34, 1,218,90
2010,30-34, 2,548,321
2010,35-39, 1,179,86
2010,35-39, 2,525,278
2010,40-44, 1,151,61
2010,40-44, 2,450,194
2010,45-49, 1,144,50
2010,45-49, 2,595,195
2010,50-54, 1,160,44
2010,50-54, 2,550,126
2010,55-59, 1,139,27
2010,55-59, 2,422,89
2010,60-64, 1,127,15
2010,60-64, 2,375,40
2010,65-69, 1,111,7
2010,65-69, 2,289,15
2010,70-74, 1,89,8
2010,70-74, 2,301,6
2010,75-79, 1,51,0
2010,75-79, 2,230,0
2010,80-84, 1,49,1
2010,80-84, 2,145,4
2010,85+, 1,30,1
2010,85+, 2,77,0
2011,10-14, 2,2,0
2011,15-19, 1,941,17
2011,15-19, 2,1093,99
2011,20-24, 1,606,51
2011,20-24, 2,919,269
2011,25-29, 1,335,69
2011,25-29, 2,686,330
2011,30-34, 1,228,89
2011,30-34, 2,493,298
2011,35-39, 1,183,79
2011,35-39, 2,478,256
2011,40-44, 1,132,53
2011,40-44, 2,462,201
2011,45-49, 1,151,53
2011,45-49, 2,505,172
2011,50-54, 1,154,47
2011,50-54, 2,553,138
2011,55-59, 1,126,20
2011,55-59, 2,420,94
2011,60-64, 1,134,18
2011,60-64, 2,397,55
2011,65-69, 1,98,10
2011,65-69, 2,260,17
2011,70-74, 1,91,5
2011,70-74, 2,329,11
2011,75-79, 1,50,0
2011,75-79, 2,221,2
2011,80-84, 1,53,0
2011,80-84, 2,166,1
2011,85+, 1,35,1
2011,85+, 2,76,1
2012,15-19, 1,839,23
2012,15-19, 2,928,96
2012,20-24, 1,396,39
2012,20-24, 2,654,201
2012,25-29, 1,210,52
2012,25-29, 2,503,256
2012,30-34, 1,158,63
2012,30-34, 2,356,209
2012,35-39, 1,125,62
2012,35-39, 2,363,211
2012,40-44, 1,98,50
2012,40-44, 2,335,153
2012,45-49, 1,101,33
2012,45-49, 2,362,144
2012,50-54, 1,105,38
2012,50-54, 2,413,131
2012,55-59, 1,91,19
2012,55-59, 2,350,72
2012,60-64, 1,92,10
2012,60-64, 2,333,56
2012,65-69, 1,79,8
2012,65-69, 2,206,23
2012,70-74, 1,86,7
2012,70-74, 2,261,12
2012,75-79, 1,39,2
2012,75-79, 2,173,1
2012,80-84, 1,28,0
2012,80-84, 2,127,1
2012,85+, 1,24,1
2012,85+, 2,72,1
2013,15-19, 1,1129,39
2013,15-19, 2,1276,119
2013,20-24, 1,490,49
2013,20-24, 2,805,274
2013,25-29, 1,245,72
2013,25-29, 2,606,311
2013,30-34, 1,181,87
2013,30-34, 2,511,332
2013,35-39, 1,150,93
2013,35-39, 2,458,298
2013,40-44, 1,124,65
2013,40-44, 2,413,203
2013,45-49, 1,113,44
2013,45-49, 2,421,174
2013,50-54, 1,132,46
2013,50-54, 2,493,145
2013,55-59, 1,104,26
2013,55-59, 2,439,97
2013,60-64, 1,110,19
2013,60-64, 2,386,66
2013,65-69, 1,89,8
2013,65-69, 2,262,31
2013,70-74, 1,87,4
2013,70-74, 2,287,12
2013,75-79, 1,42,3
2013,75-79, 2,204,5
2013,80-84, 1,40,0
2013,80-84, 2,186,3
2013,85+, 1,32,1
2013,85+, 2,96,2
2014,15-19, 1,977,29
2014,15-19, 2,1096,112
2014,20-24, 1,429,52
2014,20-24, 2,768,268
2014,25-29, 1,229,83
2014,25-29, 2,617,320
2014,30-34, 1,192,90
2014,30-34, 2,538,336
2014,35-39, 1,143,72
2014,35-39, 2,460,303
2014,40-44, 1,133,81
2014,40-44, 2,425,231
2014,45-49, 1,115,48
2014,45-49, 2,390,188
2014,50-54, 1,105,46
2014,50-54, 2,455,142
2014,55-59, 1,121,37
2014,55-59, 2,487,113
2014,60-64, 1,103,13
2014,60-64, 2,392,82
2014,65-69, 1,95,12
2014,65-69, 2,289,39
2014,70-74, 1,75,8
2014,70-74, 2,285,21
2014,75-79, 1,42,4
2014,75-79, 2,209,7
2014,80-84, 1,39,0
2014,80-84, 2,170,3
2014,85+, 1,27,0
2014,85+, 2,110,0
